network_file,n_species,n_reactions,n_ercs,hierarchy_time,analysis_time,total_time,basic_synergies,maximal_synergies,fundamental_synergies,type1_complementarity,type2_complementarity,type3_complementarity,total_complementarity,synergy_efficiency,interaction_efficiency,total_productive,productivity_rate,synergy_density,complementarity_density,n_edges,hierarchy_density,avg_degree,n_levels,avg_level_size,max_level_size,level_variance,leaf_nodes,root_nodes,leaf_ratio,root_ratio,max_chain_length,hierarchy_depth_ratio,avg_branching,max_branching,n_cliques,avg_closure_size,ercs_per_species
BIOMD0000000001.txt,24,17,11,0.010617256164550781,0.028383970260620117,0.0390012264251709,0,0,0,0,18,0,18,0.0,0.32727272727272727,18,1.0,0.0,1.6363636363636365,15,0.2727272727272727,2.727272727272727,1,11,11,0,0,0,0,0,0,0,0,0,1,0,0
BIOMD0000000002.txt,26,17,17,0.016347169876098633,0.6657249927520752,0.6820721626281738,30,30,3,27,48,0,75,0.1,0.5514705882352942,78,1.04,0.17647058823529413,4.411764705882353,25,0.18382352941176472,2.9411764705882355,1,17,17,0,0,0,0,0,0,0,0,0,1,0,0
BIOMD0000000003.txt,7,7,1,0.0018646717071533203,0.00031375885009765625,0.0021784305572509766,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0
BIOMD0000000004.txt,11,7,3,0.0016164779663085938,0.001998424530029297,0.0036149024963378906,0,0,0,0,0,0,0,0.0,0.3333333333333333,0,0.0,0.0,0.0,2,0.6666666666666666,1.3333333333333333,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0
BIOMD0000000005.txt,14,9,6,0.004033803939819336,0.003911018371582031,0.007944822311401367,2,2,1,2,0,1,3,0.5,0.2,4,1.3333333333333333,0.16666666666666666,0.5,6,0.4,2.0,1,6,6,0,0,0,0,0,0,0,0,0,1,0,0
BIOMD0000000006.txt,3,3,1,0.0010046958923339844,0.0,0.0010046958923339844,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0
BIOMD0000000007.txt,38,25,12,0.018069744110107422,0.30647826194763184,0.32454800605773926,5,5,2,0,38,0,38,0.4,0.7575757575757576,40,0.8,0.16666666666666666,3.1666666666666665,12,0.18181818181818182,2.0,1,12,12,0,0,0,0,0,0,0,0,0,1,0,0
BIOMD0000000008.txt,10,13,1,0.005724906921386719,0.0,0.005724906921386719,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0
BIOMD0000000009.txt,42,20,20,0.017117738723754883,17.24208378791809,17.259201526641846,128,124,23,123,41,24,188,0.1796875,0.8631578947368421,211,1.2865853658536586,1.15,9.4,14,0.07368421052631578,1.4,1,20,20,0,0,0,0,0,0,0,0,0,1,0,0
BIOMD0000000010.txt,13,10,8,0.009889841079711914,0.08833432197570801,0.09822416305541992,19,19,3,13,0,4,17,0.15789473684210525,0.5714285714285714,20,1.25,0.375,2.125,8,0.2857142857142857,2.0,1,8,8,0,0,0,0,0,0,0,0,0,1,0,0
BIOMD0000000011.txt,35,30,8,0.03992056846618652,1.101315975189209,1.1412365436553955,17,17,13,0,0,13,13,0.7647058823529411,0.9285714285714286,26,1.0,1.625,1.625,2,0.07142857142857142,0.5,1,8,8,0,0,0,0,0,0,0,0,0,1,0,0
BIOMD0000000012.txt,11,12,1,0.027435302734375,0.0,0.027435302734375,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0
BIOMD0000000013.txt,27,21,16,0.021902799606323242,1.051677942276001,1.0735807418823242,26,25,9,34,40,6,80,0.34615384615384615,0.675,89,1.0987654320987654,0.5625,5.0,17,0.14166666666666666,2.125,1,16,16,0,0,0,0,0,0,0,0,0,1,0,0
