r0:   => s40 ;
r1:   => s03 ;
r2:   => s02 ;
r3:   => s37 ;
r4:   => s04 ;
r5:   s38 => ;
r6:   s01 => ;
r7:   s27 => ;
r8:   s04 => ;
r9:   s03 => s35 ;
r10:   s34 => s01 ;
r11:   s22 => s11 ;
r12:   s14 => s34 ;
r13:   s06 => s24 ;
r14:   s11 => s05 ;
r15:   s37 => s33 ;
r16:   s07 + s18 => s32 ;
r17:   s28 + s30 => s10 ;
r18:   s10 + s17 => s05 ;
r19:   s12 + s37 => s15 ;
r20:   s28 + s38 => s36 ;
r21:   s04 + s12 => s34 ;
r22:   s21 + s30 => s20 ;
r23:   s14 + s22 => s02 ;
r24:   s25 => s19 + s40 ;
r25:   s13 => s07 + s32 ;
r26:   s33 => s34 + s35 ;
r27:   s38 => s06 + s39 ;
r28:   s03 => s01 + s16 ;
r29:   s20 => s23 + s32 ;
r30:   s11 => s03 + s16 ;
r31:   s26 => s17 + s33 ;
r32:   s20 => s06 + s19 ;
r33:   s34 => s07 + s08 ;
r34:   s11 + s34 => s11 + s31 ;
r35:   s03 + s19 => s19 + s31 ;
r36:   s28 + s37 => s14 + s37 ;
r37:   s20 + s37 => s31 + s37 ;
r38:   s03 + s32 => s32 + s34 ;
r39:   s16 + s31 => s14 + s31 ;
r40:   s21 + s34 => s04 + s21 ;
r41:   s27 + s39 => s27 + s34 ;
r42:   s11 + s38 => s06 + s38 ;
r43:   s18 + s33 => s19 + s33 ;
r44:   s19 + s39 => s29 + s39 ;
r45:   s09 + s12 => s22 + s27 ;
r46:   s17 + s31 => s09 + s34 ;
r47:   s20 + s28 => s05 + s11 ;
r48:   s17 + s26 => s01 + s06 ;
r49:   s26 + s31 => s12 + s29 ;
r50:   s08 + s33 => s05 + s23 ;
r51:   s05 + s09 => s08 + s21 ;
r52:   s05 + s20 => s06 + s29 ;
r53:   s01 + s13 => s05 + s31 ;
r54:   s21 + s28 => s20 + s30 ;
r55:   s02 + s34 => s35 + s36 ;
r56:   s02 + s33 => s06 + s34 ;
