Registro de procesamiento de archivos XML a TXT

Procesado biomodels_all/BIOMD0000000860/BIOMD0000000860.xml - 5 reacciones guardadas en biomodels_all_txt/BIOMD0000000860.txt.
Procesado biomodels_all/BIOMD0000000882/BIOMD0000000882.xml - 6 reacciones guardadas en biomodels_all_txt/BIOMD0000000882.txt.
Procesado biomodels_all/BIOMD0000000744/BIOMD0000000744.xml - 14 reacciones guardadas en biomodels_all_txt/BIOMD0000000744.txt.
Procesado biomodels_all/BIOMD0000000405/BIOMD0000000405.xml - 8 reacciones guardadas en biomodels_all_txt/BIOMD0000000405.txt.
Procesado biomodels_all/BIOMD0000000717/BIOMD0000000717.xml - 10 reacciones guardadas en biomodels_all_txt/BIOMD0000000717.txt.
Procesado biomodels_all/BIOMD0000000041/BIOMD0000000041.xml - 9 reacciones guardadas en biomodels_all_txt/BIOMD0000000041.txt.
Procesado biomodels_all/BIOMD0000000785/BIOMD0000000785.xml - 5 reacciones guardadas en biomodels_all_txt/BIOMD0000000785.txt.
Procesado biomodels_all/BIOMD0000000903/BIOMD0000000903.xml - 10 reacciones guardadas en biomodels_all_txt/BIOMD0000000903.txt.
Procesado biomodels_all/BIOMD0000000968/BIOMD0000000968.xml - 7 reacciones guardadas en biomodels_all_txt/BIOMD0000000968.txt.
Procesado biomodels_all/BIOMD0000000591/BIOMD0000000591.xml - 9 reacciones guardadas en biomodels_all_txt/BIOMD0000000591.txt.
Procesado biomodels_all/BIOMD0000000712/BIOMD0000000712.xml - 6 reacciones guardadas en biomodels_all_txt/BIOMD0000000712.txt.
Procesado biomodels_all/BIOMD0000000962/BIOMD0000000962.xml - 3 reacciones guardadas en biomodels_all_txt/BIOMD0000000962.txt.
Procesado biomodels_all/BIOMD0000000106/BIOMD0000000106.xml - 32 reacciones guardadas en biomodels_all_txt/BIOMD0000000106.txt.
Procesado biomodels_all/BIOMD0000000761/BIOMD0000000761.xml - 14 reacciones guardadas en biomodels_all_txt/BIOMD0000000761.txt.
Procesado biomodels_all/BIOMD0000000068/BIOMD0000000068.xml - 3 reacciones guardadas en biomodels_all_txt/BIOMD0000000068.txt.
Procesado biomodels_all/BIOMD0000000224/BIOMD0000000224.xml - 6 reacciones guardadas en biomodels_all_txt/BIOMD0000000224.txt.
Procesado biomodels_all/BIOMD0000000343/BIOMD0000000343.xml - 0 reacciones guardadas en biomodels_all_txt/BIOMD0000000343.txt.
Procesado biomodels_all/BIOMD0000000585/BIOMD0000000585.xml - 0 reacciones guardadas en biomodels_all_txt/BIOMD0000000585.txt.
Procesado biomodels_all/BIOMD0000000187/BIOMD0000000187.xml - 9 reacciones guardadas en biomodels_all_txt/BIOMD0000000187.txt.
Procesado biomodels_all/BIOMD0000000326/BIOMD0000000326.xml - 91 reacciones guardadas en biomodels_all_txt/BIOMD0000000326.txt.
Procesado biomodels_all/BIOMD0000000875/BIOMD0000000875.xml - 8 reacciones guardadas en biomodels_all_txt/BIOMD0000000875.txt.
Procesado biomodels_all/BIOMD0000000150/BIOMD0000000150.xml - 2 reacciones guardadas en biomodels_all_txt/BIOMD0000000150.txt.
Procesado biomodels_all/BIOMD0000000719/BIOMD0000000719.xml - 9 reacciones guardadas en biomodels_all_txt/BIOMD0000000719.txt.
Procesado biomodels_all/BIOMD0000000967/BIOMD0000000967.xml - 9 reacciones guardadas en biomodels_all_txt/BIOMD0000000967.txt.
Procesado biomodels_all/BIOMD0000000018/BIOMD0000000018.xml - 47 reacciones guardadas en biomodels_all_txt/BIOMD0000000018.txt.
Procesado biomodels_all/BIOMD0000000811/BIOMD0000000811.xml - 29 reacciones guardadas en biomodels_all_txt/BIOMD0000000811.txt.
