Strategy,N_Params,Success Rate (%),Total Cost,Cost-Effectiveness,Parameters,Magnitudes,Budget
k_degradation↓30% + Km_production↓10%,2,100,1850,0.5405405405405406,"k_degradation, Km_production","30%, 10%",6000
k_degradation↓30% + Km_production↓10%,2,100,1850,0.5405405405405406,"k_degradation, Km_production","30%, 10%",4000
k_degradation↓30% + Km_production↓10%,2,100,1850,0.5405405405405406,"k_degradation, Km_production","30%, 10%",2000
k_degradation↓30% + k_economic_decay↓10%,2,100,1870,0.5347593582887701,"k_degradation, k_economic_decay","30%, 10%",6000
k_degradation↓30% + k_economic_decay↓10%,2,100,1870,0.5347593582887701,"k_degradation, k_economic_decay","30%, 10%",4000
k_degradation↓30% + k_economic_decay↓10%,2,100,1870,0.5347593582887701,"k_degradation, k_economic_decay","30%, 10%",2000
k_degradation↓30% + k_resource_depletion↓10%,2,100,1900,0.5263157894736842,"k_degradation, k_resource_depletion","30%, 10%",6000
k_degradation↓30% + k_resource_depletion↓10%,2,100,1900,0.5263157894736842,"k_degradation, k_resource_depletion","30%, 10%",4000
k_degradation↓30% + k_resource_depletion↓10%,2,100,1900,0.5263157894736842,"k_degradation, k_resource_depletion","30%, 10%",2000
k_degradation↓30% + T_threshold_weak_strong↓10%,2,100,1950,0.5128205128205128,"k_degradation, T_threshold_weak_strong","30%, 10%",6000
k_degradation↓30% + T_threshold_weak_strong↓10%,2,100,1950,0.5128205128205128,"k_degradation, T_threshold_weak_strong","30%, 10%",2000
k_degradation↓30% + T_threshold_weak_strong↓10%,2,100,1950,0.5128205128205128,"k_degradation, T_threshold_weak_strong","30%, 10%",4000
k_degradation↓30% + detachment_threshold↑10%,2,100,1970,0.5076142131979696,"k_degradation, detachment_threshold","30%, 10%",6000
k_degradation↓30% + detachment_threshold↑10%,2,100,1970,0.5076142131979696,"k_degradation, detachment_threshold","30%, 10%",4000
k_degradation↓30% + detachment_threshold↑10%,2,100,1970,0.5076142131979696,"k_degradation, detachment_threshold","30%, 10%",2000
k_degradation↓30% + Km_trust_economy↓20%,2,100,2010,0.49751243781094523,"k_degradation, Km_trust_economy","30%, 20%",6000
k_degradation↓30% + Km_trust_economy↓20%,2,100,2010,0.49751243781094523,"k_degradation, Km_trust_economy","30%, 20%",4000
k_degradation↓30% + T_threshold_detached_weak↓10%,2,100,2030,0.4926108374384236,"k_degradation, T_threshold_detached_weak","30%, 10%",4000
k_degradation↓30% + T_threshold_detached_weak↓10%,2,100,2030,0.4926108374384236,"k_degradation, T_threshold_detached_weak","30%, 10%",6000
k_degradation↓30% + Km_production↓20%,2,100,2050,0.4878048780487805,"k_degradation, Km_production","30%, 20%",4000
k_degradation↓30% + k_violence_decay↑10%,2,100,2050,0.4878048780487805,"k_degradation, k_violence_decay","30%, 10%",4000
k_degradation↓30% + Km_production↓20%,2,100,2050,0.4878048780487805,"k_degradation, Km_production","30%, 20%",6000
k_degradation↓30% + k_violence_decay↑10%,2,100,2050,0.4878048780487805,"k_degradation, k_violence_decay","30%, 10%",6000
k_degradation↓20% + detachment_threshold↑30%,2,100,2060,0.4854368932038835,"k_degradation, detachment_threshold","20%, 30%",4000
