Parameter,Direction,Magnitude (%),Success Rate (%),Cost,Cost-Effectiveness,Intervention
k_degradation,↓,40,100,2200,0.45454545454545453,k_degradation ↓40%
k_degradation,↓,50,100,2750,0.3636363636363636,k_degradation ↓50%
k_violence_detached,↓,50,100,4000,0.25,k_violence_detached ↓50%
R_amplitude,↑,40,100,4800,0.20833333333333334,R_amplitude ↑40%
R_amplitude,↑,50,100,6000,0.16666666666666666,R_amplitude ↑50%
Vmax_production,↑,30,0,4500,0.0,Vmax_production ↑30%
Vmax_production,↑,40,0,6000,0.0,Vmax_production ↑40%
Vmax_production,↑,50,0,7500,0.0,Vmax_production ↑50%
R_amplitude,↑,30,0,3600,0.0,R_amplitude ↑30%
R_amplitude,↑,20,0,2400,0.0,R_amplitude ↑20%
Vmax_production,↑,20,0,3000,0.0,Vmax_production ↑20%
R_amplitude,↑,10,0,1200,0.0,R_amplitude ↑10%
Vmax_trust,↑,30,0,3000,0.0,Vmax_trust ↑30%
Vmax_trust,↑,40,0,4000,0.0,Vmax_trust ↑40%
Vmax_trust,↑,50,0,5000,0.0,Vmax_trust ↑50%
k_recovery,↑,10,0,900,0.0,k_recovery ↑10%
k_recovery,↑,20,0,1800,0.0,k_recovery ↑20%
k_recovery,↑,30,0,2700,0.0,k_recovery ↑30%
Vmax_trust,↑,10,0,1000,0.0,Vmax_trust ↑10%
Vmax_trust,↑,20,0,2000,0.0,Vmax_trust ↑20%
k_recovery,↑,50,0,4500,0.0,k_recovery ↑50%
k_violence_weak,↓,10,0,700,0.0,k_violence_weak ↓10%
k_violence_weak,↓,30,0,2100,0.0,k_violence_weak ↓30%
k_violence_weak,↓,20,0,1400,0.0,k_violence_weak ↓20%
k_violence_weak,↓,50,0,3500,0.0,k_violence_weak ↓50%
k_violence_detached_weak,↓,10,0,750,0.0,k_violence_detached_weak ↓10%
k_violence_detached_weak,↓,20,0,1500,0.0,k_violence_detached_weak ↓20%
k_violence_weak,↓,40,0,2800,0.0,k_violence_weak ↓40%
k_violence_detached_weak,↓,30,0,2250,0.0,k_violence_detached_weak ↓30%
k_violence_detached_weak,↓,40,0,3000,0.0,k_violence_detached_weak ↓40%
k_violence_detached,↓,10,0,800,0.0,k_violence_detached ↓10%
k_violence_detached_weak,↓,50,0,3750,0.0,k_violence_detached_weak ↓50%
k_violence_detached,↓,20,0,1600,0.0,k_violence_detached ↓20%
k_violence_detached,↓,30,0,2400,0.0,k_violence_detached ↓30%
k_recovery,↑,40,0,3600,0.0,k_recovery ↑40%
Vmax_production,↑,10,0,1500,0.0,Vmax_production ↑10%
k_detachment_base,↓,10,0,650,0.0,k_detachment_base ↓10%
k_violence_detached,↓,40,0,3200,0.0,k_violence_detached ↓40%
k_detachment_base,↓,20,0,1300,0.0,k_detachment_base ↓20%
k_detachment_base,↓,30,0,1950,0.0,k_detachment_base ↓30%
k_trust_destruction,↓,10,0,500,0.0,k_trust_destruction ↓10%
k_trust_destruction,↓,20,0,1000,0.0,k_trust_destruction ↓20%
k_detachment_base,↓,40,0,2600,0.0,k_detachment_base ↓40%
k_detachment_base,↓,50,0,3250,0.0,k_detachment_base ↓50%
k_trust_destruction,↓,50,0,2500,0.0,k_trust_destruction ↓50%
k_trust_decay,↓,10,0,450,0.0,k_trust_decay ↓10%
k_trust_decay,↓,20,0,900,0.0,k_trust_decay ↓20%
k_trust_decay,↓,30,0,1350,0.0,k_trust_decay ↓30%
k_trust_decay,↓,40,0,1800,0.0,k_trust_decay ↓40%
k_trust_decay,↓,50,0,2250,0.0,k_trust_decay ↓50%
k_trust_destruction,↓,30,0,1500,0.0,k_trust_destruction ↓30%
k_trust_destruction,↓,40,0,2000,0.0,k_trust_destruction ↓40%
k_degradation,↓,20,0,1100,0.0,k_degradation ↓20%
k_degradation,↓,10,0,550,0.0,k_degradation ↓10%
k_degradation,↓,30,0,1650,0.0,k_degradation ↓30%
k_violence_decay,↑,10,0,400,0.0,k_violence_decay ↑10%
k_violence_decay,↑,20,0,800,0.0,k_violence_decay ↑20%
k_violence_decay,↑,30,0,1200,0.0,k_violence_decay ↑30%
k_violence_decay,↑,40,0,1600,0.0,k_violence_decay ↑40%
k_violence_decay,↑,50,0,2000,0.0,k_violence_decay ↑50%
E_threshold,↓,10,0,350,0.0,E_threshold ↓10%
E_threshold,↓,20,0,700,0.0,E_threshold ↓20%
E_threshold,↓,30,0,1050,0.0,E_threshold ↓30%
E_threshold,↓,40,0,1400,0.0,E_threshold ↓40%
E_threshold,↓,50,0,1750,0.0,E_threshold ↓50%
T_threshold_weak_strong,↓,10,0,300,0.0,T_threshold_weak_strong ↓10%
T_threshold_weak_strong,↓,20,0,600,0.0,T_threshold_weak_strong ↓20%
T_threshold_weak_strong,↓,30,0,900,0.0,T_threshold_weak_strong ↓30%
T_threshold_weak_strong,↓,40,0,1200,0.0,T_threshold_weak_strong ↓40%
T_threshold_weak_strong,↓,50,0,1500,0.0,T_threshold_weak_strong ↓50%
T_threshold_detached_weak,↓,10,0,380,0.0,T_threshold_detached_weak ↓10%
T_threshold_detached_weak,↓,20,0,760,0.0,T_threshold_detached_weak ↓20%
