regime_start,climate,gov_rule,ag_rule,gov_cap_thresh,ag_cap_thresh,gov_period_mult,ag_period_mult,period,gov_strat,ag_strat,CI,conflict_regime,war_economy,poverty,social_cohesion,ag_power,militarisation,ag_infiltration,displacement,resilience_ratio
2,0.1,adaptive_balance,economic,0.0,0.0,1,1,1,Development,Coerce,1.1188706036371705,3,0.12280701754190101,0.6601562499828084,0.664092663887539,0.03973933253079213,0.02980472764563742,0.20151777606153007,0.751211852246177,0.7162458836050358
2,0.1,adaptive_balance,economic,0.0,0.0,1,1,2,Balance,Extract,1.229743897371499,3,0.14627659574208726,0.8388969520801484,0.7554296504507368,0.02876999680190237,0.02346834427093382,0.1945484123299856,0.8804340499982417,0.6257046222518933
2,0.1,adaptive_balance,economic,0.0,0.0,1,1,3,Balance,Extract,1.369117080132682,3,0.17784877528907672,0.8971830985662766,0.7059147937226715,0.023322004088410283,0.024626788126038787,0.20376640906149357,0.9294369685890149,0.6925996203619352
2,0.1,adaptive_balance,economic,0.0,0.0,1,1,4,Balance,Extract,1.4420123974079926,4,0.21059268599721082,0.9229729729480278,0.6915532615372462,0.0190515754327107,0.026229010224249824,0.19902349312082807,0.9455398811218368,0.6958007810801264
2,0.1,adaptive_balance,economic,0.0,0.0,1,1,5,Balance,Extract,1.5273472103498562,4,0.2589147286741424,0.9328884896462752,0.6644560079705615,0.01973642341753853,0.0271781592114732,0.16288175506198208,0.953731450232461,0.7500573655489736
2,0.1,adaptive_balance,economic,0.0,0.0,1,1,6,Balance,Extract,1.5741850473265213,4,0.2998204667755901,0.9432417796682097,0.6688771991172783,0.020199381880803714,0.028013601879823963,0.1509910768818142,0.9562342655148065,0.682750513333025
2,0.1,adaptive_balance,economic,0.0,0.0,1,1,7,Balance,Extract,1.607625051118528,4,0.3408163265167015,0.9495939060823833,0.6827851814805568,0.016913518960267746,0.026717693917334133,0.179922024663901,0.9568433013471752,0.6349540499276931
2,0.1,adaptive_balance,economic,0.0,0.0,1,1,8,Balance,Extract,1.7397305080586858,4,0.38302752291821,0.961044055955025,0.6043410708145491,0.019335446245363687,0.03257005809268986,0.11768567953292162,0.964243001727985,0.6185187113129497
2,0.1,adaptive_balance,economic,0.0,0.0,1,1,9,Balance,Extract,1.822318517089148,4,0.4133663366131999,0.9611833144431131,0.5522311339671649,0.019323389455933815,0.03965850171593422,0.11768567953292158,0.9642884240852023,0.6367166638508153
2,0.1,adaptive_balance,economic,0.0,0.0,1,1,10,Balance,Extract,1.85858182049629,5,0.44063324535933357,0.9645039847258231,0.5465554095888666,0.020216284033709654,0.03823368761410127,0.09534298783615898,0.9643965427014729,0.5971851585316569
2,0.1,adaptive_balance,economic,0.0,0.0,1,1,11,Balance,Extract,1.8949988255539534,5,0.4730878186700802,0.9624171574892835,0.5405061506054102,0.021807136992670253,0.04051372221668792,0.07495095656057592,0.9636696686025378,0.6416970801174053
2,0.1,adaptive_balance,economic,0.0,0.0,1,1,12,Balance,Extract,1.9173873860679576,5,0.4798850574436851,0.9736649028337002,0.5361625742094278,0.022341241111275324,0.04757222415783931,0.06941847828125902,0.9702686323987202,0.5606676899461085
2,0.1,adaptive_balance,economic,0.0,0.0,1,1,13,Balance,Extract,1.8811917620046161,5,0.48265895950967314,0.9699274627428004,0.5713946602478573,0.022319831814625886,0.04563680890791,0.069418478281259,0.9660391235091634,0.5764766728406371
2,0.1,adaptive_balance,economic,0.0,0.0,1,1,14,Balance,Extract,1.951101441079093,5,0.479885057443685,0.9692777252713914,0.49806134163598337,0.02227231821806862,0.055963841605712,0.069418478281259,0.965244350817873,0.5907066384982527
2,0.1,adaptive_balance,economic,0.0,0.0,1,1,15,Balance,Extract,1.949382293759381,5,0.48265895950967314,0.9709736995155096,0.5042503652658017,0.022247779906502077,0.051860308718479804,0.069418478281259,0.9615425738947382,0.511564924687682
