regime_start,climate,gov_rule,ag_rule,gov_cap_thresh,ag_cap_thresh,gov_period_mult,ag_period_mult,period,gov_strat,ag_strat,CI,conflict_regime,war_economy,poverty,social_cohesion,ag_power,militarisation,ag_infiltration,displacement,resilience_ratio
2,0.1,development_first,territorial,0.0,0.0,1,1,1,Development,Coerce,1.1188706036371705,3,0.12280701754190101,0.6601562499828084,0.664092663887539,0.03973933253079213,0.02980472764563742,0.20151777606153007,0.751211852246177,0.7162458836050358
2,0.1,development_first,territorial,0.0,0.0,1,1,2,Development,Coerce,1.2715109324043565,3,0.13535173641789222,0.8055152394541216,0.6693560434676572,0.04178412759604672,0.028439977895139572,0.16278304081815748,0.8773501059564183,0.7469342251118243
2,0.1,development_first,territorial,0.0,0.0,1,1,3,Development,Coerce,1.3749192199124618,3,0.15751295336461113,0.864917395505625,0.6475111289577743,0.04292008824578806,0.02954111222855904,0.12641425006272933,0.9195394453836084,0.8253456610695823
2,0.1,development_first,territorial,0.0,0.0,1,1,4,Development,Coerce,1.440762252076962,4,0.19487179486679818,0.893331469288597,0.6474410120784331,0.044351921416778815,0.03141600560622564,0.0976554324970855,0.9366641646540516,0.8216626012520577
2,0.1,development_first,territorial,0.0,0.0,1,1,5,Development,Coerce,1.5741824465933765,4,0.22706766916610327,0.9411960109637934,0.5940812335365202,0.04658486952452678,0.03441281508056092,0.07412530496022153,0.9629003351011319,0.7802119801039195
2,0.1,development_first,territorial,0.0,0.0,1,1,6,Development,Coerce,1.5624757775707585,4,0.2740471869229021,0.9321212680295031,0.6436926773816466,0.04741925671006211,0.03406432527830777,0.06537422020908902,0.9517994132363491,0.7265457899958667
2,0.1,development_first,territorial,0.0,0.0,1,1,7,Development,Coerce,1.6014962552104453,4,0.3119834710614882,0.9409819828061002,0.6514691986571431,0.048304131391645126,0.03424006662620669,0.05763844776020272,0.9520551677297494,0.6505842969121625
2,0.1,development_first,territorial,0.0,0.0,1,1,8,Development,Coerce,1.748075302265352,4,0.3479262672650724,0.9497355821642673,0.5495865471639878,0.04967674063327096,0.046724241196009444,0.047496001540953584,0.9607441245619256,0.7069443964987742
2,0.1,development_first,territorial,0.0,0.0,1,1,9,Development,Coerce,1.8422975510419612,5,0.38461538459566064,0.9503374616107134,0.49265529516441287,0.05159093759509862,0.05254493841064784,0.036450974648065654,0.9597814863254001,0.705683555570077
2,0.1,development_first,territorial,0.0,0.0,1,1,10,Development,Coerce,1.8471790632829568,5,0.4076086956300212,0.9586818366790333,0.5191114690260976,0.052560939162242,0.05055790896811234,0.03212316955886792,0.9618395525519811,0.6346956121999308
2,0.1,development_first,territorial,0.0,0.0,1,1,11,Development,Coerce,1.890855046311144,5,0.4335260115356342,0.9539749502888387,0.4966459155133289,0.054117729938150595,0.054744190145363296,0.026464417685781734,0.9594035179047001,0.6900636665696105
2,0.1,development_first,territorial,0.0,0.0,1,1,12,Development,Coerce,1.936722946136638,5,0.44510385754034976,0.9690400604148591,0.47742097181857096,0.05459792112650256,0.057992658116465035,0.024880165763009027,0.972533240447514,0.6974537384244177
2,0.1,development_first,territorial,0.0,0.0,1,1,13,Development,Coerce,1.9708070683444034,5,0.47151898731192904,0.9740695756964352,0.47478149466396075,0.05503953092114407,0.05828847503666381,0.024592626697505757,0.9728876116544422,0.6027696493898932
2,0.1,development_first,territorial,0.0,0.0,1,1,14,Development,Coerce,1.992030523370358,5,0.4999999999664428,0.9686976388040691,0.4766671154001541,0.05551987158667839,0.0645828885623693,0.023124184324947415,0.9651166325273968,0.5836428375375505
2,0.1,development_first,territorial,0.0,0.0,1,1,15,Development,Coerce,2.0277403780977385,5,0.49174917488503284,0.9699825109217545,0.4339913077090489,0.055972410731678475,0.074618700963828,0.021744385902161947,0.963541926740684,0.5470360013947925
