regime_start,climate,gov_rule,ag_rule,gov_cap_thresh,ag_cap_thresh,gov_period_mult,ag_period_mult,period,gov_strat,ag_strat,CI,conflict_regime,war_economy,poverty,social_cohesion,ag_power,militarisation,ag_infiltration,displacement,resilience_ratio
2,0.4,reactive,opportunistic,30.0,0.0,1,1,1,Development,Coerce,1.153196665585174,3,0.12551636478987108,0.6254545454382999,0.5977742446429971,0.0367982851891821,0.034767074342867466,0.27187064986548504,0.7186882116217536,0.6989820649200684
2,0.4,reactive,opportunistic,30.0,0.0,1,1,2,Balance,Coerce,1.3159162552263612,3,0.13394062078046656,0.7595567866825607,0.577581152236666,0.02574675765808419,0.034018569631096666,0.38799365941643493,0.8303120156232857,0.6894360603106083
2,0.4,reactive,opportunistic,30.0,0.0,1,1,3,Balance,Coerce,1.400868285202015,4,0.1500759878390944,0.8164878599430692,0.5656955625801487,0.020276416865082605,0.031295584867584554,0.44325312092668256,0.871754951969112,0.6790781252555337
2,0.4,reactive,opportunistic,30.0,0.0,1,1,4,Balance,Coerce,1.4863952993233154,4,0.1690924657498053,0.8319694489680315,0.5146666153945215,0.018192121326748127,0.03585362479803863,0.43418187995302593,0.882648323628016,0.7008818367039885
2,0.4,reactive,opportunistic,30.0,0.0,1,1,5,Balance,Coerce,1.501469138422277,4,0.18855218854765393,0.8357410379658711,0.522824088091248,0.01823804217885809,0.03634402695617172,0.41547004844479646,0.8836643534590655,0.7042403951262726
2,0.4,reactive,opportunistic,30.0,0.0,1,1,6,Balance,Coerce,1.5527963927485349,4,0.20388859694682362,0.828335056855524,0.47942726105381295,0.018214289777943808,0.04159015061602928,0.3990782740100466,0.87792784089268,0.7252495581889292
2,0.4,reactive,opportunistic,30.0,0.0,1,1,7,Balance,Coerce,1.5299230439452742,4,0.2129067843294841,0.8458762886379928,0.5288600290222029,0.017819338749762853,0.040313186024723544,0.3912993968722653,0.8875403826013711,0.7081497927371435
2,0.4,reactive,opportunistic,30.0,0.0,1,1,8,Balance,Coerce,1.5673358515308438,4,0.2276759313948055,0.8418393127629648,0.5021793926269265,0.017479900693218517,0.04434679589996892,0.37474077646382853,0.8840444222921615,0.7182811542814067
2,0.4,reactive,opportunistic,30.0,0.0,1,1,9,Balance,Coerce,1.5739583007076146,4,0.23605947954659048,0.8416040100039693,0.5037051888429452,0.018076524151570475,0.044650840957065216,0.34765788000085646,0.8842894604626211,0.7266840022257051
2,0.4,reactive,opportunistic,30.0,0.0,1,1,10,Balance,Coerce,1.6241209920144124,4,0.23551401868425206,0.8401578687508591,0.45155089542069893,0.018650829385663266,0.04941304849294425,0.3233177719712578,0.8806525292325492,0.7224483434874914
2,0.4,reactive,opportunistic,30.0,0.0,1,1,11,Balance,Coerce,1.636535406156449,4,0.23906150918709404,0.8613861385925394,0.4639122416231845,0.017529997091365514,0.04837676555524884,0.33695537210296833,0.8935911256366864,0.69913312333832
2,0.4,reactive,opportunistic,30.0,0.0,1,1,12,Balance,Coerce,1.6256383071693776,4,0.24619457312223078,0.85117878190444,0.47173504785729303,0.018383040683405315,0.046913631154651296,0.3082658940949491,0.8823585375536876,0.6844733138526163
2,0.4,reactive,opportunistic,30.0,0.0,1,1,13,Balance,Coerce,1.6400785606545099,4,0.24550898202776106,0.8794884407063573,0.48491886207960844,0.018398341076435985,0.048074429899064214,0.3079371458126217,0.9004976846269253,0.6542020390742742
2,0.4,reactive,opportunistic,30.0,0.0,1,1,14,Balance,Coerce,1.6415647998922904,4,0.2562674094618294,0.8633301250995342,0.47803273466907326,0.018435212524441257,0.04529376980290626,0.2948747390096036,0.8891743497790945,0.6805297264860273
2,0.4,reactive,opportunistic,30.0,0.0,1,1,15,Balance,Coerce,1.6519083582445178,4,0.25752274316803636,0.8770257387779536,0.4826401237014721,0.018472563384040762,0.04713531550519276,0.28239661277111594,0.896292721027059,0.6604283968671357
